code,name,district_code,facility_type,source_uuid
02442,CLINIQUE MAMIE ADJOUA,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2442
03223,CLINIQUE MEDICALE ACADEMIE DES MERS,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3223
02427,CLINIQUE MEDICALE CHANDILIE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2427
02437,CLINIQUE MEDICALE GRANDE ETOILE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2437
02446,CLINIQUE MEDICALE HOUPHOUET,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2446
02435,CLINIQUE MEDICALE LE BANCO,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2435
02433,CLINIQUE MEDICALE LE BELIER,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2433
02448,CLINIQUE MEDICALE MONT CARMEL,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2448
03121,CM SAINT MATTHIEU YOPOUGON CITÉ VERTE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3121
02440,CLINIQUE MEDICO CHIRURGICALE SAINT RAPHAEL,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2440
02432,CLINIQUE QUEEN LATIFA,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2432
02425,CLINIQUE SAINTE MARIE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2425
09720,CLINIQUE STE RITA DE CASCIA,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9720
